episode_reward_mean,timesteps_total
114.10929870605469,2048
338.58740234375,6144
208.3145751953125,10240
248.1143798828125,14336
270.6021423339844,18432
299.5460205078125,22528
344.39080810546875,26624
470.3929138183594,30720
1021.8416748046875,34816
1022.541259765625,38912
1016.2142333984375,43008
1015.0014038085938,47104
1009.430908203125,51200
1009.2189331054688,55296
1008.7680053710938,59392
1005.9872436523438,63488
1002.107177734375,67584
1002.190185546875,71680
1001.6354370117188,75776
1002.0817260742188,79872
1001.0579833984375,83968
998.3196411132812,88064
999.7112426757812,92160
997.9423217773438,96256
996.0152587890625,100352
995.8458251953125,104448
996.1987915039062,108544
992.1124267578125,112640
993.5431518554688,116736
993.833984375,120832
994.7130737304688,124928
992.1882934570312,129024
993.4976806640625,133120
989.8170166015625,137216
989.6699829101562,141312
986.4281005859375,145408
987.1849365234375,149504
988.2406005859375,153600
987.0327758789062,157696
985.746826171875,161792
986.9698486328125,165888
984.8339233398438,169984
982.3742065429688,174080
980.1203002929688,178176
973.787841796875,182272
710.5020141601562,186368
978.6962280273438,190464
981.297607421875,194560
982.5343627929688,198656
982.637451171875,202752
981.7317504882812,206848
982.3226928710938,210944
983.335693359375,215040
982.7510375976562,219136
984.139892578125,223232
982.5053100585938,227328
982.794189453125,231424
983.2721557617188,235520
983.0693359375,239616
982.1937866210938,243712
982.463134765625,247808
982.2284545898438,251904
983.1417236328125,256000
980.7911987304688,260096
982.548828125,264192
980.91845703125,268288
980.4149169921875,272384
981.0255737304688,276480
980.221923828125,280576
981.1017456054688,284672
982.3572998046875,288768
980.201171875,292864
980.2390747070312,296960
981.0316162109375,301056
978.685791015625,305152
977.48193359375,309248
974.3348388671875,313344
976.3259887695312,317440
531.2800903320312,321536
718.7998046875,325632
976.3909912109375,329728
977.6452026367188,333824
978.3379516601562,337920
977.6815795898438,342016
978.5048828125,346112
977.5297241210938,350208
977.037841796875,354304
977.2785034179688,358400
974.2552490234375,362496
975.8856811523438,366592
976.281005859375,370688
976.790771484375,374784
976.085205078125,378880
976.8466796875,382976
974.8661499023438,387072
976.4697875976562,391168
976.9492797851562,395264
976.782470703125,399360
977.2572021484375,403456
976.6565551757812,407552
976.8129272460938,411648
977.0354614257812,415744
976.1551513671875,419840
976.4884033203125,423936
976.2448120117188,428032
977.1084594726562,432128
977.25048828125,436224
977.45751953125,440320
978.3305053710938,444416
977.0571899414062,448512
978.6829833984375,452608
978.1255493164062,456704
977.4156494140625,460800
978.9512329101562,464896
977.3650512695312,468992
977.654296875,473088
977.3287353515625,477184
975.5380249023438,481280
975.7433471679688,485376
975.802978515625,489472
976.5176391601562,493568
976.7972412109375,497664
975.8679809570312,501760
