episode_reward_mean,timesteps_total
-2.9214742183685303,2048
-2.651456356048584,6144
-0.8167873620986938,10240
-2.073892116546631,14336
-4.1646270751953125,18432
-3.8247485160827637,22528
-3.377074718475342,26624
-6.3771233558654785,30720
-4.974460124969482,34816
-5.9626078605651855,38912
-11.136184692382812,43008
-12.689620018005371,47104
-16.92580223083496,51200
-21.585704803466797,55296
-24.222890853881836,59392
-26.572185516357422,63488
-28.77318572998047,67584
-33.0763053894043,71680
-34.39817428588867,75776
-30.420536041259766,79872
-27.684589385986328,83968
-36.5106315612793,88064
-34.46714782714844,92160
-37.16006851196289,96256
-43.74568176269531,100352
-47.062007904052734,104448
-48.5036506652832,108544
-48.265254974365234,112640
-41.79412078857422,116736
-45.753177642822266,120832
-50.691917419433594,124928
-51.752830505371094,129024
-53.92612075805664,133120
-62.838531494140625,137216
-69.0502700805664,141312
-75.40937805175781,145408
-76.97080993652344,149504
-79.95092010498047,153600
-75.5855712890625,157696
-81.39805603027344,161792
-75.0118637084961,165888
-76.0709457397461,169984
-76.51458740234375,174080
-78.16272735595703,178176
-67.99884033203125,182272
-66.85010528564453,186368
-67.18526458740234,190464
-66.06423950195312,194560
-69.58267211914062,198656
-66.54975128173828,202752
-68.81278228759766,206848
-66.11507415771484,210944
-66.21829986572266,215040
-68.25482177734375,219136
