episode_reward_mean,timesteps_total
-2.54534649848938,2048
-6.281765937805176,6144
-8.740923881530762,10240
-10.218489646911621,14336
-15.022639274597168,18432
-15.193245887756348,22528
-12.638616561889648,26624
-17.0236759185791,30720
-17.16202735900879,34816
-15.356856346130371,38912
480.07659912109375,43008
497.8963623046875,47104
384.4176330566406,51200
337.99200439453125,55296
95.95500946044922,59392
49.95357894897461,63488
-155.55813598632812,67584
124.6261978149414,71680
-17.042030334472656,75776
6.398388385772705,79872
48.547462463378906,83968
22.996906280517578,88064
-12.03801441192627,92160
-99.54645538330078,96256
69.64354705810547,100352
19.30786895751953,104448
-83.26940155029297,108544
77.69012451171875,112640
1.1199512481689453,116736
7.981252193450928,120832
-58.34754943847656,124928
-19.807180404663086,129024
-28.773954391479492,133120
-13.617746353149414,137216
5.025290489196777,141312
-8.092546463012695,145408
-52.441070556640625,149504
-42.99235153198242,153600
75.75474548339844,157696
-104.8880844116211,161792
0.6620142459869385,165888
-45.71673583984375,169984
-8.629096031188965,174080
-59.348915100097656,178176
-14.484390258789062,182272
-10.917720794677734,186368
-18.095260620117188,190464
-20.842315673828125,194560
-22.122182846069336,198656
-20.035245895385742,202752
-20.375476837158203,206848
-21.068157196044922,210944
-19.56131362915039,215040
-17.072078704833984,219136
-17.107315063476562,223232
-15.824739456176758,227328
-13.487812995910645,231424
-8.803411483764648,235520
-5.987709999084473,239616
-4.366269588470459,243712
-4.369753837585449,247808
-3.027872085571289,251904
-3.315277338027954,256000
-2.655264139175415,260096
-2.210124969482422,264192
-1.769700288772583,268288
-1.6687595844268799,272384
-1.3405590057373047,276480
-2.435655355453491,280576
-3.119579315185547,284672
-2.068387746810913,288768
-1.6891920566558838,292864
-1.3389308452606201,296960
-1.069358468055725,301056
-1.9222992658615112,305152
-2.4814367294311523,309248
-0.934002697467804,313344
-2.6155755519866943,317440
-1.8372143507003784,321536
-1.1133924722671509,325632
-2.3600590229034424,329728
-0.48460736870765686,333824
-2.443277597427368,337920
-1.7414618730545044,342016
-0.22561031579971313,346112
-1.2160032987594604,350208
-3.7619941234588623,354304
-1.6778814792633057,358400
-1.0204284191131592,362496
-1.2871506214141846,366592
-2.0731139183044434,370688
-2.5502219200134277,374784
-1.3969004154205322,378880
-2.1561031341552734,382976
-0.773029625415802,387072
-0.5790690779685974,391168
-2.123793125152588,395264
-0.5005844831466675,399360
-2.016714572906494,403456
-0.15362995862960815,407552
-0.8675181865692139,411648
-1.512498140335083,415744
-1.8442879915237427,419840
-1.2993056774139404,423936
-2.699784755706787,428032
-1.796103596687317,432128
-1.0134284496307373,436224
-1.5294318199157715,440320
-1.1319525241851807,444416
-1.6745532751083374,448512
-1.5779520273208618,452608
-1.259453535079956,456704
