episode_reward_mean,timesteps_total
51.924049377441406,2048
325.105712890625,6144
1019.843505859375,10240
1014.9140625,14336
1018.15234375,18432
1017.1121826171875,22528
1017.1288452148438,26624
1012.146240234375,30720
1012.873046875,34816
1014.2413330078125,38912
1014.1780395507812,43008
1015.3611450195312,47104
1013.3118286132812,51200
1020.3640747070312,55296
1018.3087768554688,59392
1019.9767456054688,63488
1025.4351806640625,67584
1018.8521118164062,71680
1022.7164306640625,75776
1017.957763671875,79872
1022.980224609375,83968
1019.272705078125,88064
1022.6463623046875,92160
1022.965576171875,96256
1020.4830322265625,100352
1021.9425048828125,104448
1022.257568359375,108544
1022.0614624023438,112640
1023.0104370117188,116736
1021.8560791015625,120832
1022.903076171875,124928
1022.527099609375,129024
1020.2192993164062,133120
1019.2962646484375,137216
1019.0716552734375,141312
1018.5673217773438,145408
1019.74267578125,149504
1018.4417724609375,153600
1021.2432861328125,157696
1020.3718872070312,161792
1023.281494140625,165888
1020.4124145507812,169984
1020.264892578125,174080
1018.7845458984375,178176
1019.7757568359375,182272
1021.828369140625,186368
1023.421142578125,190464
1023.5009155273438,194560
1025.4139404296875,198656
1021.0799560546875,202752
1021.2981567382812,206848
1023.3508911132812,210944
1024.7900390625,215040
1023.7608032226562,219136
1022.2500610351562,223232
1022.695068359375,227328
1021.673095703125,231424
1022.0245361328125,235520
1021.9254760742188,239616
1022.4871826171875,243712
1024.71484375,247808
1023.7054443359375,251904
1024.0426025390625,256000
1025.6845703125,260096
1025.052001953125,264192
1026.021240234375,268288
1026.009765625,272384
1023.377685546875,276480
1024.548095703125,280576
1025.6243896484375,284672
1025.9578857421875,288768
1024.81689453125,292864
1025.0224609375,296960
1025.7596435546875,301056
1025.30517578125,305152
1025.5687255859375,309248
1022.5172729492188,313344
1023.8524169921875,317440
1024.0283203125,321536
1023.9669799804688,325632
1024.97216796875,329728
1022.18701171875,333824
1023.3511962890625,337920
1024.304931640625,342016
1023.4116821289062,346112
1023.897705078125,350208
1022.1499633789062,354304
1021.4432373046875,358400
1022.1546630859375,362496
1022.5320434570312,366592
1022.3455810546875,370688
1022.598388671875,374784
1023.84716796875,378880
1024.218505859375,382976
1023.2236328125,387072
1024.0106201171875,391168
1025.334228515625,395264
1024.70703125,399360
1024.783447265625,403456
1024.1346435546875,407552
1023.3356323242188,411648
1023.376708984375,415744
1024.5283203125,419840
1024.0753173828125,423936
1023.266357421875,428032
1022.6392822265625,432128
1023.5122680664062,436224
1021.9051513671875,440320
1023.0732421875,444416
1022.6968383789062,448512
1022.820068359375,452608
1021.8400268554688,456704
1023.3494873046875,460800
1023.9783935546875,464896
1023.1489868164062,468992
1023.7842407226562,473088
1024.698486328125,477184
1023.8646850585938,481280
1024.99951171875,485376
1024.48193359375,489472
1024.54443359375,493568
1024.2313232421875,497664
1023.9520874023438,501760
