episode_reward_mean,timesteps_total
-2.756882905960083,2048
-2.203850269317627,6144
-2.5675318241119385,10240
-2.29654598236084,14336
-3.364879608154297,18432
-6.88852071762085,22528
-6.489013671875,26624
-6.496345520019531,30720
-11.588290214538574,34816
-13.904460906982422,38912
-15.8089599609375,43008
-14.664236068725586,47104
-15.954797744750977,51200
-18.11937141418457,55296
-17.001873016357422,59392
-17.525453567504883,63488
-22.660995483398438,67584
-22.93894386291504,71680
-24.201061248779297,75776
-31.702529907226562,79872
-33.048301696777344,83968
-32.04155349731445,88064
-31.075319290161133,92160
-14.121160507202148,96256
-33.37720489501953,100352
-49.44050216674805,104448
-229.19540405273438,108544
65.09461212158203,112640
6.842940807342529,116736
-1.4599930047988892,120832
-5.655304908752441,124928
-4.171460151672363,129024
-4.32948112487793,133120
-7.370972633361816,137216
-25.462947845458984,141312
14.804396629333496,145408
-77.09919738769531,149504
12.048994064331055,153600
-5.905754566192627,157696
-55.008419036865234,161792
11.26127815246582,165888
13.331090927124023,169984
-6.287293910980225,174080
-22.762004852294922,178176
33.93675994873047,182272
91.31446838378906,186368
13.257226943969727,190464
19.444910049438477,194560
-31.273075103759766,198656
12.670039176940918,202752
-19.18335723876953,206848
-21.968647003173828,210944
13.838056564331055,215040
-13.223260879516602,219136
-6.100406646728516,223232
-10.108636856079102,227328
