episode_reward_mean,timesteps_total
83.37594604492188,2048
31.095596313476562,6144
980.244873046875,10240
992.5762329101562,14336
990.035888671875,18432
992.9935302734375,22528
988.5941162109375,26624
986.3231201171875,30720
986.7991333007812,34816
986.2279663085938,38912
989.8251953125,43008
993.9994506835938,47104
962.330322265625,51200
993.2538452148438,55296
850.609130859375,59392
901.6854248046875,63488
854.72119140625,67584
689.7841796875,71680
845.4862670898438,75776
258.6205749511719,79872
55.21541976928711,83968
51.87894821166992,88064
258.6850280761719,92160
179.21572875976562,96256
662.9418334960938,100352
601.996337890625,104448
515.0736694335938,108544
580.0638427734375,112640
75.74165344238281,116736
362.4646301269531,120832
524.4805297851562,124928
462.9853820800781,129024
432.7896423339844,133120
333.38983154296875,137216
404.3212585449219,141312
374.02459716796875,145408
364.98248291015625,149504
91.89605712890625,153600
98.5590591430664,157696
124.7825698852539,161792
126.62960052490234,165888
128.1000213623047,169984
288.57403564453125,174080
375.20550537109375,178176
251.91432189941406,182272
378.5174560546875,186368
375.8130187988281,190464
284.4791259765625,194560
347.6053466796875,198656
340.92767333984375,202752
367.85595703125,206848
352.0125732421875,210944
373.90478515625,215040
359.0242004394531,219136
377.4765625,223232
356.5182800292969,227328
397.372802734375,231424
138.28927612304688,235520
256.61041259765625,239616
441.0801696777344,243712
357.3926696777344,247808
326.1861877441406,251904
347.0101623535156,256000
348.15673828125,260096
352.3284912109375,264192
343.8104553222656,268288
333.83648681640625,272384
328.98431396484375,276480
317.0093078613281,280576
319.2991638183594,284672
311.419189453125,288768
290.43463134765625,292864
303.85968017578125,296960
299.3640441894531,301056
289.2411804199219,305152
307.87030029296875,309248
355.0745544433594,313344
353.0807189941406,317440
365.64215087890625,321536
327.3343200683594,325632
372.9691467285156,329728
212.578369140625,333824
176.3968048095703,337920
165.69869995117188,342016
211.1353759765625,346112
376.3470153808594,350208
315.34613037109375,354304
304.2326354980469,358400
298.4153747558594,362496
356.4812316894531,366592
360.8330383300781,370688
357.2274475097656,374784
361.65008544921875,378880
257.52935791015625,382976
334.65472412109375,387072
287.8304138183594,391168
345.9771728515625,395264
264.0851135253906,399360
349.73016357421875,403456
315.1735534667969,407552
339.521728515625,411648
290.571044921875,415744
359.5711669921875,419840
351.65789794921875,423936
351.53228759765625,428032
351.7889709472656,432128
352.82720947265625,436224
342.2864074707031,440320
342.59503173828125,444416
335.6676940917969,448512
286.0351257324219,452608
284.9608154296875,456704
250.1577911376953,460800
283.22869873046875,464896
352.39544677734375,468992
349.2911682128906,473088
353.32177734375,477184
359.50537109375,481280
352.2763671875,485376
356.24676513671875,489472
354.7979736328125,493568
353.8590087890625,497664
354.6471252441406,501760
