episode_reward_mean,timesteps_total
39.60694885253906,2048
205.82049560546875,6144
197.75698852539062,10240
219.11233520507812,14336
250.24539184570312,18432
369.7820739746094,22528
592.3746948242188,26624
1018.99609375,30720
1010.658203125,34816
1006.748046875,38912
1000.2945556640625,43008
999.4158325195312,47104
1005.41259765625,51200
1004.3961181640625,55296
1001.68212890625,59392
999.566162109375,63488
1002.3147583007812,67584
1006.9281005859375,71680
1008.2659301757812,75776
1005.655517578125,79872
1002.9580078125,83968
1001.17138671875,88064
999.6221313476562,92160
997.7132568359375,96256
993.6431274414062,100352
996.9038696289062,104448
991.9427490234375,108544
989.3248901367188,112640
990.7330932617188,116736
992.571044921875,120832
992.6309814453125,124928
989.9603271484375,129024
989.2074584960938,133120
987.647705078125,137216
987.047119140625,141312
980.322509765625,145408
981.08837890625,149504
974.9771728515625,153600
563.4366455078125,157696
323.2329406738281,161792
247.5911102294922,165888
175.30245971679688,169984
139.1555938720703,174080
160.39056396484375,178176
165.35504150390625,182272
180.31576538085938,186368
146.45455932617188,190464
165.07125854492188,194560
151.14166259765625,198656
185.34500122070312,202752
314.46246337890625,206848
299.5506286621094,210944
316.3484191894531,215040
1324.3768310546875,219136
230.7671356201172,223232
1289.126220703125,227328
293.1219482421875,231424
182.666259765625,235520
1289.9005126953125,239616
1292.654052734375,243712
1222.0377197265625,247808
126.20133972167969,251904
111.48584747314453,256000
115.54647064208984,260096
117.04232025146484,264192
1260.81396484375,268288
1287.3426513671875,272384
1313.4046630859375,276480
1340.878173828125,280576
1346.296875,284672
1370.48974609375,288768
1353.9952392578125,292864
1396.2115478515625,296960
1408.5972900390625,301056
1401.737060546875,305152
1412.0738525390625,309248
1429.21923828125,313344
1453.0404052734375,317440
1437.570068359375,321536
1434.0140380859375,325632
125.38375854492188,329728
1375.5401611328125,333824
1433.911865234375,337920
1444.7818603515625,342016
1446.7254638671875,346112
1451.33447265625,350208
123.84541320800781,354304
188.90013122558594,358400
1443.63671875,362496
1443.0469970703125,366592
1439.7803955078125,370688
1460.8214111328125,374784
1477.1500244140625,378880
1453.7613525390625,382976
1457.1561279296875,387072
1455.3736572265625,391168
1463.0657958984375,395264
1480.1844482421875,399360
1450.54443359375,403456
1471.2515869140625,407552
1477.826416015625,411648
1436.347412109375,415744
1431.71875,419840
1433.67919921875,423936
1446.545654296875,428032
1482.458251953125,432128
1445.4921875,436224
1470.1051025390625,440320
1457.0582275390625,444416
1481.2806396484375,448512
1475.79931640625,452608
1476.5487060546875,456704
1472.92041015625,460800
1504.852294921875,464896
1509.366943359375,468992
1481.8941650390625,473088
1477.6539306640625,477184
1482.751708984375,481280
1525.3392333984375,485376
1477.7109375,489472
1481.029541015625,493568
1489.75927734375,497664
1493.67138671875,501760
