episode_reward_mean,timesteps_total
-0.2938491702079773,2048
-0.8117809295654297,6144
-0.6531232595443726,10240
0.29132241010665894,14336
-2.320384979248047,18432
-1.111936330795288,22528
-0.7294321060180664,26624
-0.7601181268692017,30720
-1.4527251720428467,34816
-0.7032291293144226,38912
-1.2354881763458252,43008
-1.1084152460098267,47104
-1.5246943235397339,51200
-1.5127673149108887,55296
-0.2698378562927246,59392
-446.227294921875,63488
-526.791259765625,67584
-438.6578063964844,71680
-369.1123046875,75776
-296.3348083496094,79872
-332.4270935058594,83968
-284.29217529296875,88064
-440.85333251953125,92160
-70.38641357421875,96256
-369.78485107421875,100352
-480.62420654296875,104448
-124.62923431396484,108544
-489.07611083984375,112640
7.09382438659668,116736
-350.25762939453125,120832
-547.6683349609375,124928
-169.70445251464844,129024
-131.759521484375,133120
-117.2398681640625,137216
-26.082382202148438,141312
-81.27668762207031,145408
-286.8730163574219,149504
-293.9459228515625,153600
-59.7873420715332,157696
-202.80093383789062,161792
-408.4513854980469,165888
-481.9922790527344,169984
-435.80499267578125,174080
-323.16973876953125,178176
-535.3453979492188,182272
-167.4136505126953,186368
-449.9510192871094,190464
-134.91671752929688,194560
-432.7725524902344,198656
-321.15472412109375,202752
-275.1309814453125,206848
