episode_reward_mean,timesteps_total
-7.872865200042725,2048
-7.585888862609863,6144
-9.470458030700684,10240
-10.85838508605957,14336
-17.70462417602539,18432
-27.049718856811523,22528
-36.39613342285156,26624
-37.22264099121094,30720
-43.545936584472656,34816
-24.830533981323242,38912
-32.13987731933594,43008
-35.18881607055664,47104
-36.60486602783203,51200
-53.078643798828125,55296
-74.8011245727539,59392
-95.41053771972656,63488
-110.79285430908203,67584
-114.0145034790039,71680
-120.05950927734375,75776
-126.05342102050781,79872
-126.79977416992188,83968
-130.661376953125,88064
-135.4040985107422,92160
-142.19131469726562,96256
-135.0257568359375,100352
-143.32586669921875,104448
-149.5224151611328,108544
-153.74325561523438,112640
-157.56674194335938,116736
-154.78799438476562,120832
-151.75027465820312,124928
-152.66006469726562,129024
-156.0784912109375,133120
-155.5426788330078,137216
-151.94198608398438,141312
-159.36544799804688,145408
-161.8417205810547,149504
-169.02565002441406,153600
-163.74160766601562,157696
-167.03125,161792
-175.54026794433594,165888
-178.96932983398438,169984
-127.95002746582031,174080
-133.33609008789062,178176
-192.23890686035156,182272
-35.212703704833984,186368
-115.84339904785156,190464
-93.19017791748047,194560
-194.72198486328125,198656
