episode_reward_mean,timesteps_total
-3.14589262008667,2048
-2.0420501232147217,6144
-3.212380886077881,10240
-4.155991077423096,14336
-4.984713554382324,18432
-3.6341896057128906,22528
-3.701479196548462,26624
-3.807396411895752,30720
-5.319060325622559,34816
-6.602863788604736,38912
-5.8856401443481445,43008
-5.569063186645508,47104
-5.702428817749023,51200
-8.915645599365234,55296
-10.109260559082031,59392
-10.37710952758789,63488
-8.2653226852417,67584
-9.697772026062012,71680
-12.587199211120605,75776
-14.660198211669922,79872
-15.566910743713379,83968
157.43247985839844,88064
-65.04088592529297,92160
-140.4278106689453,96256
-138.96408081054688,100352
-30.518495559692383,104448
21.53717041015625,108544
9.161152839660645,112640
25.522470474243164,116736
-114.94339752197266,120832
-163.2850341796875,124928
-326.98101806640625,129024
-285.5992126464844,133120
-301.2473449707031,137216
-223.71652221679688,141312
-228.17575073242188,145408
-355.2528991699219,149504
-298.51873779296875,153600
-544.40966796875,157696
-437.6942138671875,161792
-456.6784973144531,165888
-514.7359619140625,169984
-447.5213928222656,174080
-357.1528625488281,178176
-530.229736328125,182272
-435.60235595703125,186368
-470.9503479003906,190464
-419.74493408203125,194560
-424.3431396484375,198656
-305.257080078125,202752
-372.2618713378906,206848
-648.7481689453125,210944
-360.30303955078125,215040
-691.6680908203125,219136
-442.7030334472656,223232
-418.7498779296875,227328
-528.6163330078125,231424
