episode_reward_mean,timesteps_total
32.248775482177734,2048
980.7428588867188,6144
990.8775634765625,10240
992.6455688476562,14336
988.8345947265625,18432
986.0224609375,22528
985.0492553710938,26624
983.6502685546875,30720
982.3269653320312,34816
981.1747436523438,38912
983.7628173828125,43008
983.3267211914062,47104
981.9765625,51200
982.228515625,55296
982.3037109375,59392
983.1604614257812,63488
981.6953125,67584
978.672119140625,71680
979.8692016601562,75776
981.7747802734375,79872
977.0514526367188,83968
981.0515747070312,88064
981.4614868164062,92160
980.4827880859375,96256
980.6185913085938,100352
981.1090698242188,104448
977.3558349609375,108544
976.696533203125,112640
974.4922485351562,116736
980.158447265625,120832
979.0130004882812,124928
981.5755615234375,129024
978.171630859375,133120
978.0630493164062,137216
975.9456176757812,141312
977.26611328125,145408
978.5608520507812,149504
956.6904907226562,153600
838.1044921875,157696
891.9910888671875,161792
962.6019287109375,165888
863.517822265625,169984
860.541015625,174080
833.2760620117188,178176
962.4432373046875,182272
955.2601318359375,186368
751.5288696289062,190464
899.444091796875,194560
924.5126342773438,198656
824.7157592773438,202752
812.0181274414062,206848
850.246337890625,210944
840.7391357421875,215040
565.4718627929688,219136
604.1913452148438,223232
615.5668334960938,227328
693.7155151367188,231424
765.5557861328125,235520
741.3801879882812,239616
611.18359375,243712
607.936279296875,247808
492.12982177734375,251904
589.5479736328125,256000
325.311767578125,260096
413.3276062011719,264192
438.0491943359375,268288
382.2258605957031,272384
474.5342712402344,276480
430.89581298828125,280576
525.74169921875,284672
450.1883239746094,288768
277.40850830078125,292864
428.47564697265625,296960
373.5877380371094,301056
390.35906982421875,305152
237.49276733398438,309248
485.12860107421875,313344
321.6981201171875,317440
520.3447265625,321536
420.1448974609375,325632
337.44354248046875,329728
213.7384490966797,333824
299.67315673828125,337920
416.377685546875,342016
378.3594970703125,346112
405.658203125,350208
289.859130859375,354304
368.9166259765625,358400
421.9259338378906,362496
401.0506896972656,366592
405.9598083496094,370688
294.3904724121094,374784
279.5849304199219,378880
196.53421020507812,382976
306.0157775878906,387072
213.3770751953125,391168
233.7788848876953,395264
449.0856018066406,399360
465.4906005859375,403456
505.316650390625,407552
249.22164916992188,411648
158.39828491210938,415744
171.5223846435547,419840
304.977294921875,423936
289.2336120605469,428032
248.87933349609375,432128
256.43463134765625,436224
234.1068572998047,440320
377.26593017578125,444416
302.1228332519531,448512
457.8456115722656,452608
484.80413818359375,456704
243.92225646972656,460800
298.45654296875,464896
160.02413940429688,468992
182.20431518554688,473088
186.8613739013672,477184
204.25314331054688,481280
206.86363220214844,485376
216.77146911621094,489472
216.7541961669922,493568
219.64797973632812,497664
218.57835388183594,501760
