episode_reward_mean,timesteps_total
45.58582305908203,2048
248.68177795410156,6144
339.02862548828125,10240
332.5314636230469,14336
324.1072998046875,18432
320.3545227050781,22528
308.8608093261719,26624
315.07269287109375,30720
308.017578125,34816
308.429931640625,38912
312.9998779296875,43008
313.2419128417969,47104
307.116455078125,51200
303.94085693359375,55296
306.7968444824219,59392
294.9239196777344,63488
299.4095458984375,67584
311.32171630859375,71680
333.2984313964844,75776
352.58050537109375,79872
354.0584411621094,83968
363.2997131347656,88064
365.79693603515625,92160
375.47332763671875,96256
383.8041687011719,100352
414.17529296875,104448
433.2588806152344,108544
486.2080078125,112640
507.25616455078125,116736
536.2028198242188,120832
558.2508544921875,124928
567.662353515625,129024
575.9260864257812,133120
596.5301513671875,137216
602.884521484375,141312
606.797607421875,145408
599.70458984375,149504
607.705322265625,153600
628.6436157226562,157696
628.2435913085938,161792
632.39990234375,165888
633.1793212890625,169984
642.6170043945312,174080
640.9649047851562,178176
643.5450439453125,182272
649.6641235351562,186368
689.80224609375,190464
682.3410034179688,194560
725.44580078125,198656
716.4335327148438,202752
781.5579223632812,206848
146.73416137695312,210944
120.70944213867188,215040
123.57548522949219,219136
125.19502258300781,223232
128.12860107421875,227328
127.95323181152344,231424
127.69972229003906,235520
131.83279418945312,239616
131.49916076660156,243712
134.1146240234375,247808
132.8330841064453,251904
137.2079620361328,256000
139.0687713623047,260096
140.94943237304688,264192
141.08912658691406,268288
143.9730682373047,272384
147.9190673828125,276480
150.1099853515625,280576
147.17063903808594,284672
149.0160369873047,288768
153.86456298828125,292864
154.9517822265625,296960
157.96397399902344,301056
156.78640747070312,305152
157.81410217285156,309248
158.73635864257812,313344
164.57965087890625,317440
321.940673828125,321536
288.4162292480469,325632
445.8916931152344,329728
418.47467041015625,333824
327.8093566894531,337920
640.5208740234375,342016
545.766845703125,346112
426.18267822265625,350208
267.0946960449219,354304
479.7564697265625,358400
257.8820495605469,362496
564.5911254882812,366592
674.4185791015625,370688
657.208984375,374784
663.3621826171875,378880
676.6185913085938,382976
710.1912231445312,387072
673.2505493164062,391168
686.4044799804688,395264
678.9810791015625,399360
685.1491088867188,403456
696.4815673828125,407552
682.1375732421875,411648
683.249267578125,415744
854.72314453125,419840
699.9639892578125,423936
901.8211059570312,428032
858.3215942382812,432128
714.5601806640625,436224
853.189208984375,440320
760.0010986328125,444416
731.7491455078125,448512
804.7591552734375,452608
668.0360717773438,456704
846.828369140625,460800
745.7896728515625,464896
686.4256591796875,468992
865.3544921875,473088
803.6898803710938,477184
665.9774780273438,481280
856.1527709960938,485376
1014.2027587890625,489472
860.6958618164062,493568
855.318115234375,497664
856.0489501953125,501760
