episode_reward_mean,timesteps_total
-2.3081109523773193,2048
-1.6239670515060425,6144
-2.8749051094055176,10240
-2.303274631500244,14336
-2.9626951217651367,18432
-4.462871551513672,22528
-4.780930519104004,26624
-4.18381404876709,30720
-4.953091144561768,34816
-6.243374824523926,38912
-7.389043807983398,43008
-8.788737297058105,47104
-11.374526977539062,51200
-13.254826545715332,55296
-13.31886100769043,59392
-13.903480529785156,63488
-17.471940994262695,67584
-13.6443452835083,71680
-17.85919761657715,75776
-10.587778091430664,79872
-347.6962585449219,83968
-575.4230346679688,88064
-452.32086181640625,92160
-468.9958801269531,96256
-565.177734375,100352
-488.20086669921875,104448
-575.1483154296875,108544
-757.0679321289062,112640
-766.3717651367188,116736
-267.2479248046875,120832
-625.8739013671875,124928
-205.09620666503906,129024
-76.52342224121094,133120
-421.4168701171875,137216
-17.838855743408203,141312
-19.650609970092773,145408
-12.978967666625977,149504
-525.4146728515625,153600
-390.6530456542969,157696
-12.486801147460938,161792
-105.09678649902344,165888
5.411832809448242,169984
-82.8438491821289,174080
-20.63559913635254,178176
-22.96788787841797,182272
-9.499591827392578,186368
-7.642788410186768,190464
-4.502556324005127,194560
-28.81955909729004,198656
