episode_reward_mean,timesteps_total
57.528358459472656,2048
226.15731811523438,6144
1012.5660400390625,10240
1016.1311645507812,14336
1015.3167724609375,18432
1012.821533203125,22528
1015.3626708984375,26624
1021.99853515625,30720
1019.5169677734375,34816
1021.778564453125,38912
1024.9674072265625,43008
1021.3892211914062,47104
1020.2334594726562,51200
1021.87646484375,55296
1020.4647216796875,59392
1016.2630004882812,63488
1016.6930541992188,67584
1017.2637939453125,71680
1018.5808715820312,75776
1018.0545043945312,79872
1015.2344360351562,83968
1015.8601684570312,88064
1015.6080932617188,92160
1013.943115234375,96256
1015.4216918945312,100352
1016.39697265625,104448
1016.8856201171875,108544
1015.52294921875,112640
1015.6908569335938,116736
1016.2555541992188,120832
1016.1842651367188,124928
1017.6485595703125,129024
1018.5526123046875,133120
1019.62255859375,137216
1021.35009765625,141312
1021.0361938476562,145408
1021.0393676757812,149504
1021.2708740234375,153600
1018.9056396484375,157696
1021.7599487304688,161792
1021.3489379882812,165888
1022.4520263671875,169984
1023.5400390625,174080
1018.7738647460938,178176
1019.9813842773438,182272
1019.62353515625,186368
1018.8770141601562,190464
1020.00439453125,194560
1018.9618530273438,198656
1016.3007202148438,202752
1017.9373779296875,206848
1016.8507690429688,210944
1015.8758544921875,215040
1015.6451416015625,219136
1016.3232421875,223232
1016.8723754882812,227328
1015.4974365234375,231424
1015.2998657226562,235520
1016.124267578125,239616
1016.6053466796875,243712
1016.1871337890625,247808
1016.6041259765625,251904
1016.205810546875,256000
1016.3593139648438,260096
1017.5455322265625,264192
1017.4061889648438,268288
1016.9998779296875,272384
1016.3017578125,276480
1017.641357421875,280576
1017.0853271484375,284672
1017.3834228515625,288768
1016.9382934570312,292864
1016.9100341796875,296960
1016.3018188476562,301056
1015.7803955078125,305152
1016.3721923828125,309248
1016.010498046875,313344
1016.31298828125,317440
1015.4092407226562,321536
1015.1143798828125,325632
1015.87109375,329728
1014.2633666992188,333824
1014.1797485351562,337920
1015.1688842773438,342016
1014.0015258789062,346112
1015.7985229492188,350208
1014.6063232421875,354304
1015.3088989257812,358400
1014.0418701171875,362496
1013.42529296875,366592
1013.977294921875,370688
1014.1485595703125,374784
1015.2936401367188,378880
1013.2362670898438,382976
1014.6207275390625,387072
1014.1968383789062,391168
1013.6278076171875,395264
1013.4091186523438,399360
1014.0556640625,403456
1014.3152465820312,407552
1013.9302978515625,411648
1012.1680908203125,415744
1014.0130615234375,419840
1014.9664306640625,423936
1013.420654296875,428032
1014.1722412109375,432128
1014.3172607421875,436224
1014.3964233398438,440320
1013.7969970703125,444416
1013.035400390625,448512
1013.6685180664062,452608
1014.6552124023438,456704
1014.048095703125,460800
1014.1339721679688,464896
1015.0517578125,468992
1013.9423828125,473088
1013.867431640625,477184
1014.4901123046875,481280
1012.8921508789062,485376
1012.8410034179688,489472
1014.2822265625,493568
1012.4165649414062,497664
1013.4915161132812,501760
