episode_reward_mean,timesteps_total
23.200586318969727,2048
55.225555419921875,6144
197.36489868164062,10240
1025.2471923828125,14336
455.9170227050781,18432
268.6124572753906,22528
526.4506225585938,26624
393.8080749511719,30720
1029.9300537109375,34816
427.0260925292969,38912
1034.175048828125,43008
1033.751220703125,47104
1034.9937744140625,51200
1034.62744140625,55296
1035.1829833984375,59392
1044.3349609375,63488
1042.689453125,67584
1042.5386962890625,71680
1030.906005859375,75776
1033.70556640625,79872
1032.417724609375,83968
1025.309814453125,88064
1025.1446533203125,92160
1022.2310180664062,96256
1003.1531372070312,100352
1023.6591186523438,104448
1047.5897216796875,108544
1021.1876831054688,112640
1020.4848022460938,116736
1011.5552978515625,120832
1013.010498046875,124928
1037.6248779296875,129024
1061.01025390625,133120
1088.458251953125,137216
1116.85791015625,141312
1162.2734375,145408
1194.461181640625,149504
1248.1002197265625,153600
1190.52001953125,157696
1247.8194580078125,161792
1239.301513671875,165888
1222.9091796875,169984
1070.5418701171875,174080
1070.678955078125,178176
1074.0599365234375,182272
1031.436279296875,186368
1001.3684692382812,190464
1139.02978515625,194560
1055.6854248046875,198656
1154.88720703125,202752
1185.8150634765625,206848
1208.3607177734375,210944
1242.04345703125,215040
1221.77685546875,219136
1296.978271484375,223232
1277.82373046875,227328
1278.5579833984375,231424
1239.056884765625,235520
1220.951171875,239616
1187.8206787109375,243712
1165.757568359375,247808
1179.2255859375,251904
1169.488037109375,256000
1154.5535888671875,260096
1135.24365234375,264192
1150.024658203125,268288
1138.555419921875,272384
1140.54638671875,276480
1142.1890869140625,280576
1134.75537109375,284672
1154.7918701171875,288768
1167.3194580078125,292864
1177.4931640625,296960
1166.5615234375,301056
1158.193603515625,305152
1161.7596435546875,309248
1168.088134765625,313344
1194.45556640625,317440
1207.376220703125,321536
1161.6025390625,325632
1225.28076171875,329728
1260.9971923828125,333824
1236.67626953125,337920
1230.1158447265625,342016
1272.2191162109375,346112
1191.1827392578125,350208
1203.6719970703125,354304
1196.4112548828125,358400
1196.5347900390625,362496
1153.491943359375,366592
1141.761962890625,370688
1154.69873046875,374784
1152.843017578125,378880
1155.009765625,382976
1151.330810546875,387072
1100.16650390625,391168
1086.4788818359375,395264
1095.777587890625,399360
1116.45947265625,403456
1039.864990234375,407552
1044.900390625,411648
1047.150390625,415744
1047.36083984375,419840
1048.5667724609375,423936
1054.9600830078125,428032
1068.5020751953125,432128
1054.0179443359375,436224
1064.51806640625,440320
1053.929443359375,444416
1101.0205078125,448512
1112.990966796875,452608
1109.158935546875,456704
1099.647705078125,460800
1113.114013671875,464896
1109.2989501953125,468992
1113.2786865234375,473088
1114.2520751953125,477184
1126.788818359375,481280
1105.211181640625,485376
1125.0693359375,489472
1125.458251953125,493568
1116.9541015625,497664
1125.8824462890625,501760
