episode_reward_mean,timesteps_total
-2.7846524715423584,2048
-1.533069133758545,6144
-3.1840386390686035,10240
-1.2552587985992432,14336
-3.8265135288238525,18432
-4.705597400665283,22528
-6.003055095672607,26624
-6.934093952178955,30720
-12.430237770080566,34816
-15.575521469116211,38912
-23.49365997314453,43008
-23.692398071289062,47104
-30.223434448242188,51200
-26.81389617919922,55296
-28.739273071289062,59392
-27.983415603637695,63488
-28.7327880859375,67584
-29.942615509033203,71680
-26.96428108215332,75776
-27.880908966064453,79872
-31.674518585205078,83968
-35.48195266723633,88064
-26.004207611083984,92160
338.8510437011719,96256
205.97314453125,100352
212.22129821777344,104448
226.56117248535156,108544
243.63003540039062,112640
40.81458282470703,116736
33.61881637573242,120832
-26.532310485839844,124928
33.617156982421875,129024
72.903076171875,133120
69.00005340576172,137216
64.9336929321289,141312
112.17689514160156,145408
193.2278289794922,149504
55.3812255859375,153600
-99.07225036621094,157696
-331.0524597167969,161792
25.430362701416016,165888
90.11766052246094,169984
93.11813354492188,174080
85.54548645019531,178176
292.9310302734375,182272
187.53396606445312,186368
153.76626586914062,190464
206.4541778564453,194560
403.7659912109375,198656
440.878662109375,202752
398.72222900390625,206848
183.2201690673828,210944
182.20294189453125,215040
68.3884048461914,219136
